-65.00543;127.5867;Road
-65.00543;127.8867;Road
-65.00543;128.1867;Road
-65.00543;128.4867;Road
-65.00543;128.7867;Road
-65.00543;129.0867;Road
-65.00543;129.3867;Road
-65.00543;129.6866;Road
-65.00543;129.9866;Road
-65.00543;130.2866;Road
-65.00543;130.5866;Road
-64.70544;126.6868;Road
-64.70544;126.9868;Road
-64.70544;127.2867;Road
-64.70544;127.5867;Road
-64.70544;127.8867;Road
-64.70544;128.1867;Road
-64.70544;128.4867;Road
-64.70544;128.7867;Road
-64.70544;129.0867;Road
-64.70544;129.3867;Road
-64.70544;129.6866;Road
-64.70544;129.9866;Road
-64.70544;130.2866;Road
-64.70544;130.5866;Road
-64.70544;130.8866;Road
-64.70544;131.1866;Road
-64.70544;131.4866;Road
-64.70544;131.7866;Road
-64.70544;132.0865;Road
-64.40546;126.0868;Road
-64.40546;126.3868;Road
-64.40546;126.6868;Road
-64.40546;126.9868;Road
-64.40546;127.2867;Road
-64.40546;127.5867;Road
-64.40546;127.8867;Road
-64.40546;128.1867;Road
-64.40546;128.4867;Road
-64.40546;128.7867;Road
-64.40546;129.0867;Road
-64.40546;129.3867;Road
-64.40546;129.6866;Road
-64.40546;129.9866;Road
-64.40546;130.2866;Road
-64.40546;130.5866;Road
-64.40546;130.8866;Road
-64.40546;131.1866;Road
-64.40546;131.4866;Road
-64.40546;131.7866;Road
-64.40546;132.0865;Road
-64.40546;132.3865;Road
-64.40546;132.6865;Road
-64.40546;132.9865;Road
-64.10547;125.4868;Road
-64.10547;125.7868;Road
-64.10547;126.0868;Road
-64.10547;126.3868;Road
-64.10547;126.6868;Road
-64.10547;126.9868;Road
-64.10547;127.2867;Road
-64.10547;127.5867;Road
-64.10547;127.8867;Road
-64.10547;128.1867;Road
-64.10547;128.4867;Road
-64.10547;128.7867;Road
-64.10547;129.0867;Road
-64.10547;129.3867;Road
-64.10547;129.6866;Road
-64.10547;129.9866;Road
-64.10547;130.2866;Road
-64.10547;130.5866;Road
-64.10547;130.8866;Road
-64.10547;131.1866;Road
-64.10547;131.4866;Road
-64.10547;131.7866;Road
-64.10547;132.0865;Road
-64.10547;132.3865;Road
-64.10547;132.6865;Road
-64.10547;132.9865;Road
-64.10547;133.2865;Road
-64.10547;133.5865;Road
-64.10547;133.8865;Road
-64.10547;192.3841;Road
-64.10547;192.6841;Road
-64.10547;192.9841;Road
-64.10547;193.2841;Road
-64.10547;193.584;Road
-64.10547;193.884;Road
-64.10547;194.184;Road
-64.10547;194.484;Road
-64.10547;194.784;Road
-63.80548;124.8868;Road
-63.80548;125.1868;Road
-63.80548;125.4868;Road
